"subj_idx","response","rt","dist","dist_newold"
1,0,NA,2,"old2"
1,1,2.65850787400086,2,"new2"
1,1,1.8125854989994,0,"new0"
1,0,3.33262562400159,2,"new2"
1,1,1.9415778750008,2,"old2"
1,1,2.43655908300025,2,"new2"
1,0,3.3422186659991,2,"old2"
1,1,4.22217208199982,1,"new1"
1,1,1.99464454100053,1,"new1"
1,0,2.46783187499932,2,"new2"
1,1,3.77229104100115,1,"new1"
1,1,2.36202024900012,1,"new1"
1,1,1.70963891599968,2,"new2"
1,1,2.15434670700051,3,"new3"
1,1,4.27981004100002,1,"new1"
1,0,3.83066462399984,2,"old2"
1,0,3.6367939160009,2,"new2"
1,1,4.40066545699847,1,"new1"
1,0,3.30667362500026,3,"new3"
1,1,4.07306866599902,0,"new0"
1,1,2.03240737399938,3,"new3"
1,1,3.77741091600001,3,"new3"
1,1,2.52645204100008,3,"new3"
1,1,3.25487437500124,2,"old2"
1,1,2.51104887399924,2,"new2"
1,1,2.73641187499925,2,"old2"
1,0,2.97237583300011,3,"new3"
1,0,NA,3,"new3"
1,1,1.56568554100159,2,"new2"
1,1,2.22043749899967,1,"new1"
1,1,4.89732087499942,3,"new3"
1,0,3.89628733300015,1,"new1"
1,0,2.4944512080001,2,"new2"
1,1,3.6727706239999,2,"old2"
1,0,3.00846941600139,1,"new1"
1,0,2.74103279100018,2,"old2"
1,0,3.79849895799998,2,"old2"
1,0,2.90420283200001,3,"new3"
1,1,2.88672716600013,2,"new2"
1,0,2.63991158300087,3,"new3"
1,1,4.13087608299975,3,"new3"
1,1,1.86464504099968,2,"new2"
1,0,3.65989633299978,1,"new1"
1,1,1.56874870800129,2,"old2"
1,1,2.97356741600015,2,"new2"
1,1,3.4999108330012,1,"new1"
1,1,2.63741541600029,1,"new1"
1,1,1.88907533200108,0,"new0"
1,0,NA,3,"new3"
1,0,1.86478470799921,2,"old2"
1,1,2.28316495800027,2,"old2"
1,1,1.83522349899977,2,"new2"
1,1,2.5573519160007,0,"new0"
1,0,3.7861831249993,2,"new2"
1,1,1.96769191599924,3,"new3"
1,1,2.55217070800063,2,"old2"
1,1,2.48224245799975,3,"new3"
1,1,3.78726424900015,2,"new2"
1,1,3.59362762399905,2,"old2"
1,1,4.90551387400046,1,"new1"
1,0,NA,3,"new3"
1,1,2.04738229100076,2,"old2"
1,1,2.79846929100131,1,"new1"
1,1,1.64729504100069,1,"new1"
1,1,3.12228412399963,2,"old2"
1,1,2.21742824899957,3,"new3"
1,0,2.30400433300019,2,"new2"
1,1,3.07789745800073,1,"new1"
101,0,NA,2,"old2"
101,0,1.84775904200069,3,"new3"
101,0,2.25107749999734,1,"new1"
101,1,3.85986049900384,0,"new0"
101,0,NA,2,"old2"
101,1,3.88177183299558,2,"old2"
101,0,0.449819749002927,2,"new2"
101,1,2.71026095800335,2,"new2"
101,1,2.93390337500023,3,"new3"
101,1,1.40169066599628,2,"old2"
101,0,3.7460084580016,1,"new1"
101,0,1.22205324899551,2,"old2"
101,1,3.11392366600194,1,"new1"
101,1,2.809921166001,2,"old2"
101,1,1.33669337500032,3,"new3"
101,1,2.23218404100044,2,"new2"
101,1,2.23974866599747,3,"new3"
101,1,3.29250958299963,2,"old2"
101,1,4.03887954100355,2,"old2"
101,1,2.09494945800543,2,"new2"
101,1,4.2793551240029,2,"old2"
101,1,2.68902037400403,1,"new1"
101,1,4.18428716700146,1,"new1"
101,0,4.32895487399946,2,"new2"
101,1,2.95707341600064,1,"new1"
101,1,3.5086358740009,3,"new3"
101,0,2.05426962499769,3,"new3"
101,1,2.48031287499907,2,"new2"
101,1,2.6470084169996,2,"old2"
101,0,1.38753408300545,1,"new1"
101,1,1.96974674899684,3,"new3"
101,0,NA,2,"old2"
101,1,3.72023841699411,3,"new3"
101,1,3.59677441599342,2,"old2"
101,1,2.81932062400301,1,"new1"
101,0,3.11221012500027,2,"new2"
101,1,2.56164991600235,0,"new0"
101,0,3.86507625000377,3,"new3"
101,1,2.93221499899664,2,"old2"
101,1,1.438024957999,2,"old2"
101,1,3.15061733299808,3,"new3"
101,0,1.57271612400655,3,"new3"
101,1,1.34869741700095,1,"new1"
101,1,3.91647012499743,3,"new3"
101,1,2.32955424999818,2,"old2"
101,0,1.51972633300466,2,"new2"
101,0,1.29378691599413,2,"new2"
101,0,2.46099220800534,1,"new1"
101,1,2.41305462500168,1,"new1"
101,0,2.74806299999909,2,"new2"
101,1,2.95897262400104,2,"new2"
101,1,3.20884850000584,2,"new2"
101,0,2.17962675000308,3,"new3"
101,1,3.64670641699922,3,"new3"
101,0,1.38984104200063,2,"new2"
101,0,2.20439199999964,2,"old2"
101,0,2.55624533299851,2,"new2"
101,1,1.75526733299921,1,"new1"
101,0,1.81919929099968,3,"new3"
101,1,1.32239458300319,2,"new2"
101,0,1.69997554099973,1,"new1"
101,1,0.881175458001962,0,"new0"
101,0,4.87721716699889,1,"new1"
101,1,2.77884758299479,1,"new1"
101,0,1.0344074579989,2,"new2"
101,0,1.53621291600575,3,"new3"
101,1,1.77142716600065,1,"new1"
101,1,1.15973225000198,0,"new0"
104,0,NA,3,"new3"
104,1,2.23591731300007,2,"old2"
104,1,2.99687049199997,1,"new1"
104,1,1.70788997000022,2,"new2"
104,1,3.69432318500003,2,"old2"
104,0,NA,2,"new2"
104,0,2.46001547399987,3,"new3"
104,1,3.87646722099998,1,"new1"
104,1,3.49543571499999,2,"new2"
104,1,2.78672806300006,1,"new1"
104,0,1.86362161800002,3,"new3"
104,0,3.78255440599992,2,"new2"
104,1,1.23845448900011,1,"new1"
104,0,4.02815649199988,2,"new2"
104,1,1.74539800999992,1,"new1"
104,0,NA,3,"new3"
104,0,NA,2,"old2"
104,1,3.2561089809999,0,"new0"
104,1,4.01024733299982,1,"new1"
104,1,1.82008145700001,2,"new2"
104,0,1.09229427599985,3,"new3"
104,1,2.77822914800026,3,"new3"
104,1,1.31391208499963,2,"old2"
104,1,1.59189042399976,2,"new2"
104,1,3.06167081700005,3,"new3"
104,1,1.66482025300002,2,"old2"
104,1,2.66989055699969,2,"old2"
104,1,1.88692691599999,2,"old2"
104,1,1.89583632699987,2,"new2"
104,0,1.84267578700019,2,"new2"
104,1,3.98965469599989,1,"new1"
104,1,1.50337257299998,3,"new3"
104,1,2.13246933400023,2,"old2"
104,0,NA,2,"new2"
104,0,NA,1,"new1"
104,1,1.36037645099987,3,"new3"
104,1,2.74649171300007,1,"new1"
104,1,4.38420928100004,1,"new1"
104,0,1.33422483499999,0,"new0"
104,1,2.03828111700022,2,"old2"
104,0,NA,2,"old2"
104,1,3.29479245899984,1,"new1"
104,1,1.66001034200008,1,"new1"
104,1,2.18816596599981,1,"new1"
104,1,2.91109946500001,2,"old2"
104,1,1.22072294100008,3,"new3"
104,1,2.55551935099993,2,"new2"
104,1,1.83472720899999,3,"new3"
104,1,2.84680226,1,"new1"
104,0,2.98341181700016,2,"new2"
104,1,1.46148088000018,1,"new1"
104,1,3.06755515299983,3,"new3"
104,1,2.9325463680002,0,"new0"
104,1,1.41722049500004,2,"new2"
104,1,4.01149622399998,2,"new2"
104,0,NA,2,"new2"
104,0,NA,0,"new0"
104,1,1.49810709199983,3,"new3"
104,1,2.58014138699991,1,"new1"
104,1,0.992040411999824,2,"old2"
104,0,0.775254506000238,2,"old2"
104,0,3.32743306900011,2,"new2"
104,1,1.37215389099993,2,"old2"
104,0,3.64427181000019,3,"new3"
104,1,1.72568303399976,2,"old2"
104,1,2.07170020299964,2,"old2"
104,1,1.00065704500003,3,"new3"
104,1,2.05181979999998,3,"new3"
105,0,4.27957322199995,2,"old2"
105,1,2.04974029799996,2,"new2"
105,0,2.57158315499987,3,"new3"
105,1,2.09649581300005,3,"new3"
105,1,2.16530863399998,3,"new3"
105,0,2.70455336399982,1,"new1"
105,1,2.36747993600011,3,"new3"
105,0,NA,1,"new1"
105,0,1.93525185899989,1,"new1"
105,0,2.36269374100016,2,"new2"
105,0,2.27612573900001,1,"new1"
105,1,2.12375727300014,2,"old2"
105,1,1.82087524399981,2,"new2"
105,0,3.39017352299993,2,"new2"
105,0,4.8830180949999,2,"new2"
105,1,2.18547708100005,2,"new2"
105,1,1.62417204100007,1,"new1"
105,1,0.93140029999995,2,"old2"
105,1,1.12522820000004,2,"old2"
105,0,2.00240406400007,2,"new2"
105,1,1.64897675900011,1,"new1"
105,0,1.17761501700011,3,"new3"
105,0,2.62498581699992,3,"new3"
105,0,1.53789735199985,1,"new1"
105,1,3.05273561500007,2,"old2"
105,0,1.82744371600006,2,"new2"
105,1,0.906962045,3,"new3"
105,1,1.06023766999988,2,"new2"
105,1,1.63608285100008,2,"old2"
